movie,year,rating,genre,runtime_min,imdb,metascore,votes,n_imdb
Moonfall,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",130,5.1,41,92604,51.0
Armageddon,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",151,6.7,42,440823,67.0
Snowpiercer,,R,"['Action', ' Drama', ' Sci-Fi']",126,7.1,84,376677,71.0
Captain America: The First Avenger,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",124,6.9,66,875565,69.0
Face/Off,,R,"['Action', ' Crime', ' Sci-Fi']",138,7.3,82,391336,73.0
Signs,,PG-13,"['Drama', ' Mystery', ' Sci-Fi']",106,6.8,59,376881,68.0
Independence Day,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",145,7.0,59,593573,70.0
Sunshine,,R,"['Sci-Fi', ' Thriller']",107,7.2,64,260264,72.0
The Maze Runner,,PG-13,"['Action', ' Mystery', ' Sci-Fi']",113,6.8,57,491376,68.0
District 9,,R,"['Action', ' Sci-Fi', ' Thriller']",112,7.9,81,701647,79.0
Total Recall,,R,"['Action', ' Adventure', ' Sci-Fi']",113,7.5,60,344766,75.0
Vesper,,Not Rated,"['Adventure', ' Drama', ' Sci-Fi']",114,6.0,70,19089,60.0
The Day After Tomorrow,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",124,6.5,47,465066,65.0
Stargate,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",116,7.0,42,199501,70.0
The Amazing Spider-Man 2,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",142,6.6,53,521765,66.0
Ad Astra,,PG-13,"['Adventure', ' Drama', ' Mystery']",123,6.5,80,251969,65.0
Spider-Man 3,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",139,6.3,59,618456,63.0
Venom,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",112,6.6,35,517362,66.0
The Hunger Games: Catching Fire,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",146,7.5,76,691927,75.0
Escape from New York,,R,"['Action', ' Adventure', ' Sci-Fi']",99,7.1,76,151337,71.0
Men in Black 3,,PG-13,"['Action', ' Adventure', ' Comedy']",106,6.8,58,377701,68.0
Vivarium,,R,"['Horror', ' Mystery', ' Sci-Fi']",97,5.9,64,68092,59.0
X-Men,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",104,7.3,64,633222,73.0
The Giver,,PG-13,"['Drama', ' Romance', ' Sci-Fi']",97,6.4,47,123072,64.0
Star Trek Beyond,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",122,7.0,68,254074,70.0
Demolition Man,,R,"['Action', ' Sci-Fi', ' Thriller']",115,6.7,34,186829,67.0
Waterworld,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",177,6.3,56,204622,63.0
Jules,,PG-13,"['Comedy', ' Drama', ' Sci-Fi']",87,7.2,57,935,72.0
Captain Marvel,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",123,6.8,64,589902,68.0
X-Men: Apocalypse,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",144,6.9,52,450832,69.0
War of the Worlds,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",116,6.5,73,464534,65.0
Superman,,PG,"['Action', ' Adventure', ' Sci-Fi']",143,7.4,82,183074,74.0
World War Z,,PG-13,"['Action', ' Adventure', ' Horror']",116,7.0,63,697481,70.0
Spider-Man: Far from Home,,PG-13,"['Action', ' Adventure', ' Comedy']",129,7.4,69,530395,74.0
12 Monkeys,,R,"['Mystery', ' Sci-Fi', ' Thriller']",129,8.0,74,634442,80.0
Lucy,,R,"['Action', ' Sci-Fi', ' Thriller']",89,6.4,61,518800,64.0
WALL·E,,G,"['Animation', ' Adventure', ' Family']",98,8.4,95,1161918,84.0
Alien³,,R,"['Action', ' Horror', ' Sci-Fi']",114,6.4,59,311197,64.0
Mortal Kombat,,R,"['Action', ' Adventure', ' Fantasy']",110,6.1,44,183890,61.0
Bird Box,,R,"['Horror', ' Mystery', ' Sci-Fi']",124,6.6,51,371074,66.0
Venom: Let There Be Carnage,,PG-13,"['Action', ' Sci-Fi', ' Thriller']",97,5.9,49,246423,59.0
The Butterfly Effect,,R,"['Drama', ' Sci-Fi', ' Thriller']",113,7.6,30,508378,76.0
Galaxy Quest,,PG,"['Adventure', ' Comedy', ' Sci-Fi']",102,7.4,70,171505,74.0
Vanilla Sky,,R,"['Fantasy', ' Mystery', ' Romance']",136,6.9,45,279593,69.0
